acpcp.mon.mean.nc,acpcp_mon_mean
air.2m.mon.mean.nc,air2m_mon_mean
apcp.mon.mean.nc,apcp_mon_mean
cape.mon.mean.nc,cape_mon_mean
cdcon.mon.mean.nc,cdcon_mon_mean
cdlyr.mon.mean.nc,cdlyr_mon_mean
evap.mon.mean.nc,evap_mon_mean
hcdc.mon.mean.nc,hcdc_mon_mean
hgt.tropo.mon.mean.nc,hgt_tropo_mon_mean
hpbl.mon.mean.nc,hpbl_mon_mean
lcdc.mon.mean.nc,lcdc_mon_mean
mcdc.mon.mean.nc,mcdc_mon_mean
pres.tropo.mon.mean.nc,pres_tropo_mon_mean
pr_wtr.mon.mean.nc,prwtr_mon_mean
rhum.2m.mon.mean.nc,rhum2m_mon_mean
tcdc.mon.mean.nc,tcdc_mon_mean
uwnd.10m.mon.mean.nc,uwnd10m_mon_mean
vwnd.10m.mon.mean.nc,vwnd10m_mon_mean
wcconv.mon.mean.nc,wcconv_mon_mean
wcvflx.mon.mean.nc,wcvflx_mon_mean
